# time (s)	h_+ (strain)	h_x (strain)
-0.483825684	0.000000000000000000e+00	0.000000000000000000e+00
-0.483764649	3.701009659184987080e-31	4.631276369912312799e-30
-0.483703614	1.255949259852775582e-30	1.853971968318626624e-29
-0.483642579	2.320771038059144925e-30	4.174075882545906605e-29
-0.483581543	3.227837065444206393e-30	7.424120166756808888e-29
-0.483520508	3.640667131121607773e-30	1.160392845544704237e-28
-0.483459473	3.223228574127967789e-30	1.671247275175122492e-28
-0.483398438	1.640129137148755417e-30	2.274787942286387845e-28
-0.483337403	-1.443197181302538718e-30	2.970743573741077130e-28
-0.483276368	-6.360309283124412868e-30	3.758759666393977026e-28
-0.483215332	-1.344358606134493408e-29	4.638399213229967601e-28
-0.483154297	-2.302405841375914340e-29	5.609143454368124236e-28
-0.483093262	-3.543124928917315318e-29	6.670392644889793216e-28
-0.483032227	-5.099301813399017988e-29	7.821466841451666932e-28
-0.482971192	-7.003541403028681825e-29	9.061606714534615427e-28
-0.482910157	-9.288253169054895271e-29	1.038997433571048145e-27
-0.482849121	-1.198563770742061878e-28	1.180565399811827610e-27
-0.482788086	-1.512767352317927041e-28	1.330765301464632838e-27
-0.482727051	-1.874610459139016315e-28	1.489490251237330782e-27
-0.482666016	-2.287242818676789853e-28	1.656625820238188258e-27
-0.482604981	-2.753788347802230971e-28	1.832050115480239828e-27
-0.482543946	-3.277344022790420630e-28	2.015633854003716689e-27
-0.482482911	-3.860978808287089568e-28	2.207240434531785423e-27
-0.482421875	-4.507732598433594854e-28	2.406726005287689287e-27
-0.482360840	-5.220615223453661593e-28	2.613939530291350724e-27
-0.482299805	-6.002605432875736794e-28	2.828722856759130897e-27
-0.482238770	-6.856649949716872365e-28	3.050910766393575838e-27
-0.482177735	-7.785662438436225540e-28	3.280331040004722108e-27
-0.482116700	-8.792522676754038217e-28	3.516804505931800304e-27
-0.482055664	-9.880075448287984306e-28	3.760145090922077267e-27
-0.481994629	-1.105112970093350397e-27	4.010159863670206864e-27
-0.481933594	-1.230845754845656022e-27	4.266649083939831187e-27
-0.481872559	-1.365479324689563097e-27	4.529406235070168539e-27
-0.481811524	-1.509283225536631746e-27	4.798218066716423386e-27
-0.481750489	-1.662523022378613646e-27	5.072864624625518159e-27
-0.481689454	-1.825460185186556051e-27	5.353119286925416896e-27
-0.481628418	-1.998351990210301141e-27	5.638748789617236960e-27
-0.481567383	-2.181451403996573810e-27	5.929513259419317412e-27
-0.481506348	-2.375006966111216242e-27	6.225166241383562519e-27
-0.481445313	-2.579262669825435828e-27	6.525454708748030902e-27
-0.481384278	-2.794457839177558232e-27	6.830119122342740142e-27
-0.481323243	-3.020826994312863647e-27	7.138893425441994503e-27
-0.481262207	-3.258599717660223077e-27	7.451505088415157586e-27
-0.481201172	-3.508000518977456896e-27	7.767675128398944896e-27
-0.481140137	-3.769248676475559515e-27	8.087118145803171468e-27
-0.481079102	-4.042558099881441151e-27	8.409542365120309744e-27
-0.481018067	-4.328137162035338648e-27	8.734649642997064872e-27
-0.480957032	-4.626188539238462326e-27	9.062135547802569946e-27
-0.480895996	-4.936909046050619147e-27	9.391689370640809394e-27
-0.480834961	-5.260489466044132439e-27	9.722994203290154747e-27
-0.480773926	-5.597114357867246083e-27	1.005572696757648316e-26
-0.480712891	-5.946961886688843034e-27	1.038955849615756306e-26
-0.480651856	-6.310203631658992417e-27	1.072415360220721015e-26
-0.480590821	-6.687004398829281163e-27	1.105917114069780279e-26
-0.480529786	-7.077522024183141426e-27	1.139426410449706712e-26
-0.480468750	-7.481907159415146954e-27	1.172907971636605463e-26
-0.480407715	-7.900303107490896697e-27	1.206325952483597698e-26
-0.480346680	-8.332845582193221887e-27	1.239643954117257182e-26
-0.480285645	-8.779662528714349552e-27	1.272825030889293459e-26
-0.480224610	-9.240873905979493020e-27	1.305831709103774509e-26
-0.480163575	-9.716591490051709603e-27	1.338625997545553826e-26
-0.480102539	-1.020691866093187891e-26	1.371169405421504345e-26
-0.480041504	-1.071195020814634534e-26	1.403422956645099825e-26
-0.479980469	-1.123177212845973712e-26	1.435347207132275973e-26
-0.479919434	-1.176646141422974108e-26	1.466902266345722162e-26
-0.479858399	-1.231608588678077124e-26	1.498047813491859671e-26
-0.479797364	-1.288070397545965344e-26	1.528743120750416635e-26
-0.479736329	-1.346036456086294714e-26	1.558947074154304007e-26
-0.479675293	-1.405510677276922534e-26	1.588618198181087958e-26
-0.479614258	-1.466495983572826331e-26	1.617714676681548404e-26
-0.479553223	-1.528994289553527423e-26	1.646194381323534244e-26
-0.479492188	-1.593006487689281220e-26	1.674014894914932706e-26
-0.479431153	-1.658532431681719890e-26	1.701133543872060233e-26
-0.479370118	-1.725570924481262715e-26	1.727507417085010317e-26
-0.479309082	-1.794119704920940327e-26	1.753093405039956839e-26
-0.479248047	-1.864175438370323241e-26	1.777848221344321903e-26
-0.479187012	-1.935733701643286176e-26	1.801728438749238589e-26
-0.479125977	-2.008788980847006639e-26	1.824690515799922938e-26
-0.479064942	-2.083334657253865065e-26	1.846690833255971517e-26
-0.479003907	-2.159363005164694838e-26	1.867685719727500755e-26
-0.478942871	-2.236865185891983176e-26	1.887631495473061718e-26
-0.478881836	-2.315831243180865473e-26	1.906484489433134395e-26
-0.478820801	-2.396250102582206842e-26	1.924201088308795015e-26
-0.478759766	-2.478109570921259154e-26	1.940737759613861081e-26
-0.478698731	-2.561396335629490933e-26	1.956051086559392365e-26
-0.478637696	-2.646095969340791795e-26	1.970097810320432168e-26
-0.478576661	-2.732192931463885264e-26	1.982834847987794293e-26
